Crime,Address,Date,Time
Aggravated assault,300 block Oak St,5/1/2016,2:30 a.m.
Aggravated assault,100 block E Kennedy St,4/30/2016,5:38 a.m.-5:41 a.m.
Aggravated assault,900 block Wolf St,4/29/2016,3:30 a.m.
Aggravated assault,100 block Congress Av,4/29/2016,11:33 a.m.
Aggravated assault,700 block Lodi St,4/27/2016,12:04 a.m.
Aggravated assault,700 block Hickory St,4/26/2016,4:00 a.m.
Aggravated assault,400 block Gifford St,4/25/2016,5:05 p.m.
Aggravated assault,400 block South Av,4/25/2016,7:30 p.m.
Aggravated assault,1000 block Park St,4/24/2016,2:10 p.m.
Aggravated assault,1400 block S Geddes St,4/24/2016,11:30 p.m.
Aggravated assault,2800 block S Salina St,4/23/2016,7:00 p.m.-8:30 p.m.
Aggravated assault,200 block Webster Av,4/22/2016,7:24 p.m.
Aggravated assault,0 block Destiny Usa Dr,4/21/2016,2:59 p.m.
Aggravated assault,300 block Apple St,4/21/2016,4:51 p.m.
Aggravated assault,200 block Merriman Av,4/21/2016,9:56 p.m.
Aggravated assault,100 block Landon Av,4/20/2016,1:28 p.m.
Aggravated assault,400 block Smith St,4/20/2016,6:35 p.m.-6:37 p.m.
Aggravated assault,0 block Costello Ct,4/20/2016,10:52 p.m.
Aggravated assault,100 block Stewart Ct,4/18/2016,9:38 p.m.
Aggravated assault,0 block Baker Av,4/17/2016,12:43 a.m.
Aggravated assault,300 block Allen St,4/17/2016,12:30 a.m.
Aggravated assault,100 block Truth Ter,4/17/2016,9:18 p.m.
Aggravated assault,400 block South Av,4/16/2016,5:07 p.m.
Aggravated assault,300 block Slocum Dr,4/16/2016,6:03 p.m.
Aggravated assault,500 block W Colvin St,4/16/2016,9:47 p.m.
Aggravated assault,400 block Seymour St,4/16/2016,11:25 a.m.
Aggravated assault,100 block Ballantyne Rd,4/15/2016,9:00 p.m.
Aggravated assault,300 block W Calthrop Av,4/14/2016,11:00 a.m.
Aggravated assault,1600 block James St,4/14/2016,3:59 p.m.
Aggravated assault,1000 block S Clinton St,4/14/2016,11:45 p.m.
Aggravated assault,100 block W Bissell St,4/13/2016,5:26 p.m.
Aggravated assault,200 block Crippen Av,4/12/2016,12:00 a.m.-12:40 a.m.
Aggravated assault,3400 block Burnet Av,4/12/2016,12:00 p.m.
Aggravated assault,2300 block E Fayette St,4/12/2016,3:13 p.m.
Aggravated assault,800 block Tallman St,4/12/2016,7:55 p.m.
Aggravated assault,500 block State Fair Blvd,4/10/2016,1:30 a.m.-2:04 a.m.
Aggravated assault,700 block E Adams St,4/10/2016,4:15 a.m.
Aggravated assault,100 block Wood Av,4/9/2016,5:20 a.m.
Aggravated assault,2000 block S Salina St,4/8/2016,1:35 a.m.-1:38 a.m.
Aggravated assault,200 block Westmoreland Av,4/8/2016,8:58 p.m.
Aggravated assault,1200 block S State St,4/8/2016,11:48 p.m.
Aggravated assault,500 block Bear St,4/7/2016,1:00 a.m.
Aggravated assault,200 block Palmer Av,4/7/2016,3:25 a.m.-3:42 a.m.
Aggravated assault,500 block Turtle St,4/7/2016,11:40 a.m.
Aggravated assault,1000 block S Clinton St,4/7/2016,7:52 p.m.
Aggravated assault,300 block Grant Av,4/6/2016,3:25 a.m.-3:30 a.m.
Aggravated assault,200 block W Colvin St,4/6/2016,10:50 p.m.
Aggravated assault,100 block Dickerson St,4/5/2016,11:25 a.m.
Aggravated assault,400 block Ash St,4/5/2016,3:00 p.m.-3:40 p.m.
Aggravated assault,600 block Lodi St,4/5/2016,5:00 p.m.-5:07 p.m.
Aggravated assault,900 block Milton Av,4/5/2016,10:26 p.m.
Aggravated assault,600 block N Geddes St,4/2/2016,1:13 a.m.
Aggravated assault,2100 block Burnet Av,4/2/2016,5:56 p.m.-10:10 a.m.
Aggravated assault,0 block Destiny Usa Dr,4/2/2016,4:40 p.m.
Aggravated assault,200 block Pacific Av,4/2/2016,5:33 p.m.
Aggravated assault,1800 block South Av,4/2/2016,7:44 p.m.
Aggravated assault,300 block Oakwood Av,3/31/2016,2:14 p.m.
Aggravated assault,600 block Tallman St,3/31/2016,6:29 p.m.
Aggravated assault,1000 block N Townsend St,3/31/2016,7:20 p.m.
Aggravated assault,2000 block E Genesee St,3/31/2016,11:25 p.m.
Aggravated assault,300 block South Av,3/30/2016,5:41 p.m.
Aggravated assault,1400 block Midland Av,3/30/2016,8:34 p.m.
Aggravated assault,700 block Irving Av,3/30/2016,9:35 p.m.
Aggravated assault,200 block Herkimer St,3/29/2016,9:55 a.m.
Aggravated assault,600 block N Geddes St,3/29/2016,5:00 p.m.-9:03 p.m.
Aggravated assault,100 block Foxboro Rd,3/28/2016,10:54 p.m.
Aggravated assault,600 block N Salina St,3/27/2016,12:48 a.m.
Aggravated assault,800 block Teall Av,3/27/2016,4:20 a.m.
Aggravated assault,100 block Berger Av,3/27/2016,4:51 a.m.
Aggravated assault,300 block Hudson St,3/27/2016,1:00 a.m.
Aggravated assault,1200 block S State St,3/27/2016,10:07 p.m.
Aggravated assault,300 block Mountainview Av,3/27/2016,10:00 p.m.-10:26 p.m.
Aggravated assault,200 block Grant Av,3/26/2016,1:00 p.m.
Aggravated assault,400 block Union Pl,3/26/2016,10:37 p.m.
Aggravated assault,100 block Croton Ter,3/26/2016,11:21 p.m.
Aggravated assault,200 block Lincoln Av,3/25/2016,10:33 p.m.
Aggravated assault,2800 block S Salina St,3/23/2016,10:03 p.m.
Aggravated assault,1000 block James St,3/22/2016,1:30 p.m.
Aggravated assault,600 block S Geddes St,3/21/2016,5:35 p.m.
Aggravated assault,100 block Griffiths St,3/20/2016,11:25 a.m.
Aggravated assault,1100 block Teall Av,3/20/2016,11:10 p.m.
Aggravated assault,1200 block Park St,3/19/2016,9:26 p.m.
Aggravated assault,600 block S Salina St,3/18/2016,2:28 p.m.
Aggravated assault,100 block N Lowell Av,3/17/2016,4:30 p.m.
Aggravated assault,200 block North Av,3/15/2016,6:45 p.m.-12:57 p.m.
Aggravated assault,100 block Josephine St,3/15/2016,9:25 p.m.
Aggravated assault,100 block Belle Av,3/13/2016,5:37 a.m.-6:22 a.m.
Aggravated assault,300 block Whittier Av,3/12/2016,10:51 a.m.
Aggravated assault,500 block Barnes Av,3/11/2016,6:02 p.m.
Aggravated assault,200 block Rockland Av,3/11/2016,8:30 p.m.
Aggravated assault,900 block S Salina St,3/10/2016,5:04 p.m.
Aggravated assault,500 block S Salina St,3/7/2016,2:56 p.m.
Aggravated assault,500 block S Crouse Av,3/7/2016,7:11 p.m.
Aggravated assault,1200 block Park St,3/6/2016,8:00 a.m.-9:40 a.m.
Aggravated assault,0 block Destiny Usa Dr,3/5/2016,1:36 a.m.
Aggravated assault,300 block N Clinton St,3/5/2016,1:30 a.m.
Aggravated assault,100 block Marshall St,3/5/2016,2:50 a.m.
Aggravated assault,200 block Oakwood Av,3/4/2016,7:00 a.m.-7:35 a.m.
Aggravated assault,300 block Prospect Av,3/3/2016,9:00 p.m.
Aggravated assault,100 block Pond St,3/2/2016,2:30 a.m.-2:54 a.m.
Aggravated assault,300 block W Brighton Av,3/2/2016,7:00 p.m.-12:38 p.m.
Aggravated assault,700 block Hawley Av,3/2/2016,4:02 p.m.
Aggravated assault,300 block Putnam St,3/1/2016,9:35 p.m.
Aggravated assault,400 block Durston Av,2/29/2016,6:55 a.m.
Aggravated assault,100 block Grove St,2/29/2016,6:25 p.m.
Aggravated assault,100 block Putnam St,2/28/2016,2:00 a.m.-2:02 p.m.
Aggravated assault,300 block Richmond Av,2/28/2016,6:00 p.m.
Aggravated assault,800 block Butternut St,2/27/2016,12:43 p.m.
Aggravated assault,200 block Ashdale Av,2/27/2016,1:45 p.m.
Aggravated assault,100 block Parkside Av,2/27/2016,11:57 p.m.
Aggravated assault,800 block Erie Blvd W,2/26/2016,6:01 p.m.
Aggravated assault,300 block Putnam St,2/26/2016,8:51 p.m.
Aggravated assault,1000 block Milton Av,2/25/2016,7:30 p.m.-12:22 p.m.
Aggravated assault,100 block State Fair Blvd,2/24/2016,4:00 p.m.-3:22 a.m.
Aggravated assault,500 block S Clinton St,2/24/2016,7:45 p.m.-7:49 p.m.
Aggravated assault,3100 block Grant Blvd,2/23/2016,8:45 a.m.
Aggravated assault,100 block Dickerson St,2/23/2016,9:36 a.m.
Aggravated assault,500 block W Bear St,2/22/2016,4:09 p.m.
Aggravated assault,600 block S Geddes St,2/21/2016,3:00 a.m.
Aggravated assault,1100 block W Colvin St,2/21/2016,9:00 a.m.-2:33 p.m.
Aggravated assault,100 block Walton St,2/21/2016,8:15 p.m.
Aggravated assault,200 block N West St,2/20/2016,1:35 a.m.
Aggravated assault,2100 block E Fayette St,2/19/2016,8:00 p.m.-11:44 a.m.
Aggravated assault,300 block W Ostrander Av,2/17/2016,7:50 p.m.
Aggravated assault,1700 block W Onondaga St,2/16/2016,12:37 a.m.
Aggravated assault,500 block Lynch Av,2/16/2016,11:30 a.m.-8:40 p.m.
Aggravated assault,100 block Gordon Av,2/15/2016,4:57 p.m.
Aggravated assault,100 block Remington Av,2/15/2016,8:53 p.m.
Aggravated assault,600 block Hawley Av,2/12/2016,12:30 a.m.-12:38 a.m.
Aggravated assault,100 block N Collingwood Av,2/12/2016,3:25 p.m.-3:26 p.m.
Aggravated assault,1100 block N Salina St,2/9/2016,9:00 p.m.
Aggravated assault,500 block W Brighton Av,2/8/2016,11:32 p.m.
Aggravated assault,500 block W Colvin St,2/7/2016,5:00 p.m.-5:10 p.m.
Aggravated assault,0 block Destiny Usa Dr,2/7/2016,4:20 p.m.-4:40 p.m.
Aggravated assault,900 block N Salina St,2/6/2016,1:15 a.m.
Aggravated assault,1700 block E Fayette St,2/5/2016,9:23 p.m.
Aggravated assault,200 block Putnam St,2/3/2016,4:30 p.m.
Aggravated assault,200 block Warner Av,2/2/2016,11:15 a.m.
Aggravated assault,1000 block Cannon St,2/2/2016,1:07 p.m.
Aggravated assault,100 block Munson Dr,2/2/2016,6:42 p.m.
Aggravated assault,200 block Merrill St,2/1/2016,1:00 p.m.-7:09 p.m.
Aggravated assault,200 block Lafayette Rd,1/31/2016,6:00 p.m.
Aggravated assault,500 block Oak St,1/30/2016,4:12 p.m.
Aggravated assault,700 block Erie Blvd W,1/29/2016,3:06 p.m.
Aggravated assault,400 block Wolf St,1/29/2016,8:15 p.m.
Aggravated assault,100 block Sixth North St,1/26/2016,1:30 a.m.-1:41 a.m.
Aggravated assault,100 block Davis St,1/26/2016,3:40 p.m.
Aggravated assault,300 block Stafford Av,1/25/2016,12:25 a.m.
Aggravated assault,2500 block S State St,1/25/2016,2:00 p.m.
Aggravated assault,200 block Thayer St,1/25/2016,10:45 p.m.
Aggravated assault,3100 block E Genesee St,1/25/2016,5:55 p.m.-5:56 p.m.
Aggravated assault,300 block N Clinton St,1/23/2016,12:51 a.m.
Aggravated assault,300 block N Clinton St,1/22/2016,1:30 a.m.
Aggravated assault,600 block E Division St,1/22/2016,5:38 p.m.
Aggravated assault,300 block Ballantyne Rd,1/22/2016,10:40 p.m.
Aggravated assault,700 block Court St,1/21/2016,2:15 p.m.
Aggravated assault,1200 block Park St,1/21/2016,10:53 p.m.
Aggravated assault,1400 block Midland Av,1/20/2016,12:20 a.m.-12:32 a.m.
Aggravated assault,300 block Garfield Av,1/19/2016,6:17 p.m.
Aggravated assault,700 block Ash St,1/18/2016,2:30 a.m.-2:37 a.m.
Aggravated assault,500 block Bellevue Av,1/18/2016,8:25 a.m.-8:54 a.m.
Aggravated assault,100 block E Beard Av,1/18/2016,2:00 p.m.-2:06 p.m.
Aggravated assault,100 block Murray Av,1/17/2016,11:00 p.m.-1:02 a.m.
Aggravated assault,300 block W Fayette St,1/17/2016,2:00 a.m.
Aggravated assault,600 block Park St,1/17/2016,3:00 a.m.
Aggravated assault,700 block Ash St,1/17/2016,8:30 a.m.-10:43 a.m.
Aggravated assault,1700 block W Onondaga St,1/17/2016,10:37 p.m.
Aggravated assault,100 block Josephine St,1/16/2016,8:15 a.m.
Aggravated assault,100 block Davis St,1/15/2016,1:22 a.m.
Aggravated assault,600 block Second North St,1/14/2016,2:15 a.m.-3:17 a.m.
Aggravated assault,400 block Cortland Av,1/14/2016,4:07 p.m.
Aggravated assault,600 block Catherine St,1/13/2016,5:40 p.m.
Aggravated assault,1100 block Wolf St,1/12/2016,4:19 p.m.
Aggravated assault,100 block Walton St,1/10/2016,10:54 a.m.
Aggravated assault,200 block Hudson St,1/10/2016,12:55 p.m.
Aggravated assault,100 block W Ostrander Av,1/10/2016,4:00 a.m.
Aggravated assault,100 block W Onondaga St,1/9/2016,6:55 p.m.
Aggravated assault,600 block Helen St,1/9/2016,7:53 p.m.
Aggravated assault,200 block Lilac St,1/9/2016,11:16 p.m.
Aggravated assault,500 block State Fair Blvd,1/8/2016,2:40 a.m.
Aggravated assault,2000 block Valley Dr,1/8/2016,2:50 a.m.
Aggravated assault,1000 block Park Av,1/8/2016,9:30 p.m.
Aggravated assault,300 block Cadwell St,1/7/2016,12:15 p.m.
Aggravated assault,600 block W Onondaga St,1/7/2016,10:48 p.m.
Aggravated assault,100 block Mayar St,1/5/2016,3:50 p.m.
Aggravated assault,1800 block Lodi St,1/5/2016,7:00 p.m.
Aggravated assault,600 block W Newell St,1/4/2016,8:56 a.m.
Aggravated assault,100 block Milnor Av,1/2/2016,2:40 p.m.
Aggravated assault,100 block Shonnard St,1/2/2016,6:43 p.m.
Aggravated assault,300 block S Clinton St,1/2/2016,10:55 p.m.
Aggravated assault,100 block Ballantyne Rd,1/2/2016,3:00 p.m.
Aggravated assault,200 block Greenwood Pl,1/1/2016,12:30 a.m.
Aggravated assault,2600 block S Salina St,1/1/2016,7:40 p.m.
Aggravated assault,200 block Village Dr,12/30/2015,6:53 p.m.
Aggravated assault,100 block Almond St,12/29/2015,2:00 p.m.-7:32 p.m.
Aggravated assault,100 block Dudley St,12/28/2015,9:50 a.m.
Aggravated assault,600 block N Salina St,12/28/2015,7:04 p.m.
Aggravated assault,1600 block Midland Av,12/28/2015,11:00 p.m.-11:04 p.m.
Aggravated assault,1500 block E Genesee St,12/27/2015,7:05 p.m.-7:20 p.m.
Aggravated assault,500 block W Onondaga St,12/27/2015,7:00 p.m.
Aggravated assault,100 block Wood Av,12/26/2015,3:45 a.m.
Aggravated assault,2100 block Park St,12/26/2015,11:00 a.m.
Aggravated assault,100 block Latimer Ter,12/26/2015,2:25 p.m.
Aggravated assault,100 block Mary St,12/26/2015,3:40 p.m.-3:43 p.m.
Aggravated assault,3300 block Midland Av,12/26/2015,9:45 p.m.
Aggravated assault,1000 block James St,12/26/2015,4:00 p.m.
Aggravated assault,0 block Destiny Usa Dr,12/26/2015,7:59 p.m.
Aggravated assault,500 block Prospect Av,12/25/2015,9:31 p.m.
Aggravated assault,100 block W Fayette St,12/25/2015,11:45 p.m.
Aggravated assault,1200 block Avery Av,12/24/2015,5:37 p.m.
Aggravated assault,100 block Genesee Park Dr,12/23/2015,1:55 p.m.
Aggravated assault,100 block S Carbon St,12/23/2015,7:30 p.m.-7:43 p.m.
Aggravated assault,800 block Avery Av,12/20/2015,2:45 a.m.-2:51 a.m.
Aggravated assault,100 block Village Dr,12/20/2015,2:00 p.m.
Aggravated assault,1000 block Bellevue Av,12/20/2015,9:57 p.m.
