Crime,Address,Date,Time
Aggravated assault,400 block S Collingwood Av,12/19/2015,10:00 p.m.-10:17 p.m.
Aggravated assault,1600 block W Genesee St,12/19/2015,10:19 p.m.
Aggravated assault,400 block Shonnard St,12/18/2015,11:45 p.m.
Aggravated assault,200 block Rowland St,12/16/2015,4:57 p.m.
Aggravated assault,400 block South Av,12/16/2015,10:41 p.m.
Aggravated assault,1000 block Tyson Pl,12/15/2015,12:30 p.m.-12:52 p.m.
Aggravated assault,100 block Ainsley Dr,12/15/2015,7:05 p.m.
Aggravated assault,100 block Stafford Av,12/15/2015,10:35 p.m.
Aggravated assault,400 block Comstock Av,12/14/2015,6:00 a.m.
Aggravated assault,600 block N Geddes St,12/13/2015,12:20 a.m.
Aggravated assault,500 block Vine St,12/12/2015,9:20 a.m.-9:34 a.m.
Aggravated assault,100 block N Edwards Av,12/11/2015,1:00 a.m.
Aggravated assault,600 block S Geddes St,12/11/2015,10:15 p.m.
Aggravated assault,1200 block Almond St,12/10/2015,10:00 a.m.
Aggravated assault,500 block S Salina St,12/10/2015,12:15 p.m.-12:19 p.m.
Aggravated assault,700 block James St,12/9/2015,5:45 p.m.-6:45 p.m.
Aggravated assault,100 block Knaul St,12/8/2015,12:36 a.m.
Aggravated assault,1000 block N Townsend St,12/8/2015,8:10 p.m.
Aggravated assault,0 block Sterling Av,12/6/2015,1:35 a.m.
Aggravated assault,200 block E Division St,12/6/2015,1:58 a.m.
Aggravated assault,500 block W Brighton Av,12/6/2015,4:15 a.m.
Aggravated assault,500 block W Onondaga St,12/5/2015,10:35 a.m.
Aggravated assault,300 block Hoefler St,12/5/2015,2:20 p.m.
Aggravated assault,100 block W Brighton Av,12/5/2015,7:56 p.m.
Aggravated assault,200 block Elk St,12/5/2015,8:54 p.m.
Aggravated assault,200 block Barrett St,12/5/2015,11:40 p.m.
Aggravated assault,100 block Kirkwood Pl,12/5/2015,9:30 p.m.
Aggravated assault,300 block Catherine St,12/3/2015,9:00 a.m.-9:03 a.m.
Aggravated assault,900 block Park Av,12/3/2015,6:56 p.m.
Aggravated assault,1600 block Lodi St,12/2/2015,12:07 a.m.
Aggravated assault,600 block Dewitt St,12/2/2015,6:40 p.m.-6:41 p.m.
Aggravated assault,300 block Rowland St,12/1/2015,11:00 p.m.-11:31 p.m.
Aggravated assault,2000 block E Fayette St,11/30/2015,10:08 a.m.
Aggravated assault,200 block Catawba St,11/29/2015,12:49 a.m.
Aggravated assault,400 block S Salina St,11/29/2015,2:10 a.m.
Aggravated assault,0 block South Side,11/29/2015,12:00 a.m.-12:00 p.m.
Aggravated assault,600 block Seeley Rd,11/29/2015,12:30 p.m.-12:32 p.m.
Aggravated assault,300 block Danforth St,11/28/2015,1:05 a.m.
Aggravated assault,100 block Ballantyne Rd,11/28/2015,1:00 p.m.
Aggravated assault,300 block Lexington Av,11/28/2015,2:45 p.m.-2:57 p.m.
Aggravated assault,100 block Stafford Av,11/28/2015,9:52 p.m.
Aggravated assault,500 block S Clinton St,11/28/2015,11:26 p.m.
Aggravated assault,300 block Pine St,11/27/2015,4:10 a.m.-4:14 a.m.
Aggravated assault,400 block Pond St,11/27/2015,6:15 p.m.
Aggravated assault,100 block Melbourne Av,11/27/2015,11:58 p.m.
Aggravated assault,400 block S Salina St,11/25/2015,4:54 p.m.
Aggravated assault,800 block S Salina St,11/24/2015,11:00 a.m.
Aggravated assault,500 block Valley Dr,11/24/2015,4:12 p.m.
Aggravated assault,1200 block Lodi St,11/22/2015,12:02 a.m.-12:05 a.m.
Aggravated assault,600 block W Onondaga St,11/22/2015,4:20 p.m.-4:23 p.m.
Aggravated assault,200 block Hartson St,11/21/2015,11:25 p.m.-11:27 p.m.
Aggravated assault,1300 block South Av,11/20/2015,1:15 a.m.-1:18 a.m.
Aggravated assault,700 block E Adams St,11/20/2015,11:05 a.m.
Aggravated assault,900 block Avery Av,11/20/2015,3:35 p.m.
Aggravated assault,100 block Fitch St,11/18/2015,8:00 p.m.-12:40 p.m.
Aggravated assault,100 block Merriman Av,11/17/2015,7:57 p.m.
Aggravated assault,100 block S Carbon St,11/17/2015,11:45 a.m.-12:15 p.m.
Aggravated assault,200 block Lime St,11/15/2015,12:24 p.m.
Aggravated assault,100 block Dickerson St,11/15/2015,5:00 p.m.
Aggravated assault,100 block Dearborn Pl,11/15/2015,10:28 p.m.
Aggravated assault,400 block N Geddes St,11/15/2015,7:30 a.m.
Aggravated assault,200 block W Colvin St,11/14/2015,12:05 a.m.-12:26 a.m.
Aggravated assault,100 block Roney Ln,11/14/2015,1:00 a.m.-1:02 a.m.
Aggravated assault,100 block Sarah Loguen St,11/14/2015,6:59 p.m.
Aggravated assault,200 block Rich St,11/14/2015,8:30 p.m.-8:35 p.m.
Aggravated assault,100 block Mcclure Av,11/13/2015,12:30 a.m.-12:52 a.m.
Aggravated assault,100 block E Seneca Tpke,11/13/2015,1:30 p.m.
Aggravated assault,500 block Wyoming St,11/13/2015,5:09 p.m.
Aggravated assault,1400 block E Washington St,11/13/2015,5:54 p.m.
Aggravated assault,300 block Arthur St,11/12/2015,7:28 a.m.
Aggravated assault,500 block Carbon St,11/12/2015,11:00 a.m.
Aggravated assault,500 block Richmond Av,11/12/2015,12:45 p.m.
Aggravated assault,100 block Dickerson St,11/12/2015,1:40 p.m.
Aggravated assault,100 block Herbert St,11/12/2015,6:24 p.m.
Aggravated assault,100 block Hudson St,11/10/2015,11:21 a.m.
Aggravated assault,1900 block Lodi St,11/9/2015,12:40 p.m.
Aggravated assault,700 block Cannon St,11/9/2015,4:21 p.m.
Aggravated assault,4700 block S Salina St,11/9/2015,8:50 p.m.
Aggravated assault,4400 block S Salina St,11/9/2015,11:35 p.m.
Aggravated assault,1300 block W Fayette St,11/8/2015,2:00 a.m.
Aggravated assault,100 block W Martin Luther King St,11/8/2015,11:50 a.m.
Aggravated assault,1300 block Midland Av,11/8/2015,1:51 p.m.
Aggravated assault,300 block Chemung St,11/8/2015,3:39 p.m.
Aggravated assault,100 block Bryant Av,11/8/2015,1:30 a.m.
Aggravated assault,1200 block S State St,11/7/2015,1:15 a.m.
Aggravated assault,100 block W Ostrander Av,11/7/2015,3:56 a.m.
Aggravated assault,300 block S Salina St,11/7/2015,1:49 p.m.
Aggravated assault,1300 block W Fayette St,11/7/2015,10:50 p.m.
Aggravated assault,1000 block S Clinton St,11/6/2015,9:45 p.m.
Aggravated assault,100 block Albert Ter,11/5/2015,12:07 a.m.
Aggravated assault,200 block May Av,11/5/2015,3:31 p.m.
Aggravated assault,900 block Willis Av,11/4/2015,12:16 a.m.-12:26 a.m.
Aggravated assault,400 block Hawley Av,11/3/2015,9:46 a.m.
Aggravated assault,500 block Burnet Av,11/2/2015,9:50 a.m.
Aggravated assault,800 block Butternut St,11/2/2015,7:00 p.m.
Aggravated assault,500 block W Colvin St,11/1/2015,5:25 p.m.
Aggravated assault,100 block Berkshire Av,10/31/2015,12:40 a.m.
Aggravated assault,200 block Walton St,10/31/2015,12:30 a.m.
Aggravated assault,100 block N Salina St,10/31/2015,4:00 a.m.
Aggravated assault,1100 block S Townsend St,10/31/2015,11:03 a.m.
Aggravated assault,1800 block W Genesee St,10/31/2015,8:17 p.m.
Aggravated assault,100 block Pulaski St,10/30/2015,3:25 a.m.
Aggravated assault,200 block Palmer Av,10/30/2015,10:51 a.m.
Aggravated assault,1200 block Milton Av,10/30/2015,4:23 p.m.
Aggravated assault,100 block Dickerson St,10/30/2015,9:15 p.m.
Aggravated assault,400 block Shonnard St,10/29/2015,6:00 a.m.-6:04 a.m.
Aggravated assault,100 block Garfield Av,10/29/2015,11:51 a.m.
Aggravated assault,100 block W Newell St,10/29/2015,9:22 p.m.
Aggravated assault,200 block S Geddes St,10/29/2015,11:40 p.m.
Aggravated assault,800 block Kirkpatrick St,10/28/2015,2:30 a.m.-2:41 a.m.
Aggravated assault,300 block Oakwood Av,10/28/2015,3:27 p.m.
Aggravated assault,500 block Columbus Av,10/28/2015,6:19 p.m.
Aggravated assault,100 block N Geddes St,10/26/2015,2:02 a.m.
Aggravated assault,1000 block Ballantyne Rd,10/26/2015,2:36 p.m.
Aggravated assault,1200 block Euclid Av,10/26/2015,3:30 p.m.
Aggravated assault,81 block B 481N/Brighton Exwy N,10/25/2015,3:00 p.m.-3:35 p.m.
Aggravated assault,1300 block N Salina St,10/24/2015,2:45 a.m.
Aggravated assault,100 block Hope Av,10/24/2015,3:08 p.m.
Aggravated assault,100 block Roney Ln,10/24/2015,9:29 p.m.
Aggravated assault,100 block Steuben St,10/23/2015,5:00 p.m.-11:29 p.m.
Aggravated assault,300 block E Washington St,10/21/2015,10:00 a.m.
Aggravated assault,200 block Kenwood Av,10/21/2015,5:58 p.m.
Aggravated assault,1200 block Lancaster Av,10/21/2015,6:04 p.m.
Aggravated assault,200 block Lincoln Av,10/20/2015,12:00 p.m.
Aggravated assault,400 block E Raynor Av,10/20/2015,1:00 p.m.
Aggravated assault,100 block W Fayette St,10/18/2015,1:55 a.m.
Aggravated assault,1000 block S Mcbride St,10/18/2015,3:40 a.m.-3:46 a.m.
Aggravated assault,300 block W Newell St,10/18/2015,4:16 p.m.
Aggravated assault,600 block Kirkpatrick St,10/18/2015,4:30 p.m.
Aggravated assault,600 block N Salina St,10/17/2015,1:57 a.m.
Aggravated assault,200 block Beecher St,10/17/2015,8:11 p.m.
Aggravated assault,700 block Pond St,10/16/2015,10:02 a.m.
Aggravated assault,300 block Wadsworth St,10/15/2015,6:44 p.m.
Aggravated assault,400 block Landon Av,10/14/2015,7:30 p.m.-1:13 a.m.
Aggravated assault,500 block S Salina St,10/14/2015,4:54 p.m.
Aggravated assault,500 block S Salina St,10/13/2015,11:47 a.m.-11:51 a.m.
Aggravated assault,200 block N Geddes St,10/13/2015,5:17 p.m.
Aggravated assault,100 block Ballantyne Rd,10/13/2015,8:05 p.m.
Aggravated assault,1300 block Butternut St,10/12/2015,12:00 a.m.-12:17 a.m.
Aggravated assault,400 block Union Pl,10/12/2015,12:20 a.m.
Aggravated assault,1900 block E Fayette St,10/12/2015,1:52 p.m.
Aggravated assault,2600 block Midland Av,10/12/2015,5:46 p.m.
Aggravated assault,2800 block James St,10/11/2015,1:00 a.m.
Aggravated assault,200 block Miles Av,10/11/2015,2:34 a.m.
Aggravated assault,0 block W Ostrander Av,10/10/2015,12:54 p.m.
Aggravated assault,100 block West End Dr,10/10/2015,12:00 p.m.-2:30 p.m.
Aggravated assault,100 block W Fayette St,10/9/2015,1:30 a.m.
Aggravated assault,300 block Coolidge Av,10/9/2015,12:08 p.m.
Aggravated assault,700 block S Geddes St,10/8/2015,5:20 p.m.
Aggravated assault,300 block S Alvord St,10/8/2015,11:28 p.m.
Aggravated assault,100 block Kellogg St,10/8/2015,11:20 p.m.
Aggravated assault,100 block Schiller Av,10/7/2015,12:03 a.m.
Aggravated assault,1000 block Danforth St,10/7/2015,1:05 a.m.-1:35 a.m.
Aggravated assault,500 block W Newell St,10/7/2015,8:33 p.m.
Aggravated assault,100 block W Onondaga St,10/6/2015,8:25 p.m.
Aggravated assault,900 block Teall Av,10/6/2015,11:15 p.m.
Aggravated assault,100 block Oak St,10/5/2015,12:45 a.m.
Aggravated assault,1300 block Lodi St,10/4/2015,4:38 p.m.
Aggravated assault,1100 block Park St,10/3/2015,10:13 a.m.
Aggravated assault,1400 block S State St,10/3/2015,2:57 p.m.
Aggravated assault,100 block Clifton Pl,10/3/2015,8:05 p.m.-8:14 p.m.
Aggravated assault,600 block Lodi St,10/3/2015,7:30 p.m.
Aggravated assault,200 block Onondaga Av,10/2/2015,12:15 a.m.
Aggravated assault,1300 block E Genesee St,9/30/2015,12:15 a.m.-12:20 a.m.
Aggravated assault,200 block Riverdale Dr,9/30/2015,5:00 p.m.-2:21 p.m.
Aggravated assault,100 block Davis St,9/28/2015,9:00 a.m.
Aggravated assault,700 block Spring St,9/28/2015,8:26 p.m.
Aggravated assault,0 block Destiny Usa Dr,9/28/2015,9:45 p.m.-10:15 p.m.
Aggravated assault,400 block South Av,9/27/2015,2:10 a.m.
Aggravated assault,100 block Stewart Ct,9/27/2015,2:56 a.m.
Aggravated assault,200 block Park St,9/27/2015,3:00 a.m.
Aggravated assault,200 block Erie Blvd E,9/27/2015,7:00 p.m.
Aggravated assault,100 block Village Dr,9/26/2015,10:15 a.m.-10:26 a.m.
Aggravated assault,100 block Hudson St,9/26/2015,9:35 p.m.
Aggravated assault,200 block Lincoln Av,9/26/2015,11:31 p.m.
Aggravated assault,200 block Crippen Av,9/25/2015,7:00 p.m.-12:35 a.m.
Aggravated assault,700 block E Genesee St,9/25/2015,3:31 p.m.
Aggravated assault,200 block Fitch St,9/25/2015,2:30 p.m.
Aggravated assault,200 block N West St,9/24/2015,1:30 a.m.
Aggravated assault,2400 block S State St,9/24/2015,1:00 p.m.
Aggravated assault,100 block Gifford St,9/24/2015,9:00 p.m.
Aggravated assault,500 block Cortland Av,9/24/2015,11:10 p.m.
Aggravated assault,100 block Taft Av,9/24/2015,11:30 p.m.
Aggravated assault,100 block Hope Av,9/23/2015,2:48 p.m.
Aggravated assault,100 block Lincoln Av,9/22/2015,6:31 p.m.
Aggravated assault,700 block Second North St,9/21/2015,7:39 p.m.
Aggravated assault,300 block Spring St,9/21/2015,9:42 p.m.
Aggravated assault,200 block Markland Av,9/20/2015,8:49 p.m.
Aggravated assault,1000 block W Onondaga St,9/19/2015,1:58 a.m.
Aggravated assault,300 block Garfield Av,9/19/2015,5:00 a.m.
Aggravated assault,100 block Riverdale Dr,9/19/2015,11:36 p.m.
Aggravated assault,200 block W Lafayette Av,9/19/2015,10:00 a.m.
Aggravated assault,300 block Fitch St,9/18/2015,12:29 a.m.
Aggravated assault,100 block Ballantyne Rd,9/18/2015,3:15 a.m.-3:17 a.m.
Aggravated assault,300 block Fobes Av,9/18/2015,12:56 p.m.
Aggravated assault,0 block Destiny Usa Dr,9/18/2015,9:06 p.m.
Aggravated assault,500 block Catherine St,9/18/2015,9:50 p.m.
Aggravated assault,700 block Butternut St,9/17/2015,4:10 p.m.
Aggravated assault,2100 block E Fayette St,9/16/2015,7:42 p.m.
Aggravated assault,100 block Dougall Av,9/16/2015,8:44 p.m.
Aggravated assault,2600 block Midland Av,9/15/2015,3:44 a.m.
Aggravated assault,700 block Dewitt St,9/15/2015,9:29 p.m.
Aggravated assault,200 block State Fair Blvd,9/15/2015,11:00 p.m.-11:09 p.m.
Aggravated assault,100 block S Clinton St,9/15/2015,11:40 p.m.
Aggravated assault,100 block Randall Av,9/14/2015,2:23 a.m.
Aggravated assault,200 block Seneca Dr,9/13/2015,1:35 a.m.-1:43 a.m.
Aggravated assault,1500 block Teall Av,9/12/2015,3:23 p.m.
Aggravated assault,0 block Destiny Usa Dr,9/12/2015,8:45 p.m.
Aggravated assault,200 block Essex St,9/10/2015,8:30 a.m.-1:18 p.m.
Aggravated assault,100 block Grassman Av,9/10/2015,2:00 p.m.-2:04 p.m.
Aggravated assault,400 block Smith St,9/10/2015,3:30 p.m.-3:41 p.m.
Aggravated assault,200 block Merriman Av,9/9/2015,7:25 a.m.
Aggravated assault,900 block S Geddes St,9/9/2015,11:00 a.m.
